codigo,grado,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
200,Ciencias y lenguas de la Antigüedad,5,5,5,5,5,5,5,5,5,5,5,5
201,Estudios de Asia y África-Árabe,5,6.202,5,5,5.311,5,5,5,5,5,5,5
202,Estudios de Asia y África-Chino,6.345,7.872,7.41,8.4,7.217,7.5,6.701,7.267,8.544,8.738,9.804,9.18
203,Estudios de Asia y África-Japonés,7.47,8.58,7.334,8.71,8.957,9.146,9.075,9.401,9.757,10.147,10.472,10.361
204,Estudios Hispánicos: Lengua Española y sus Literaturas,5,5,5,5,5,5,5,5,5,5,5,5
205,Estudios Ingleses,5.614,6.746,5.104,6.332,6.34,5.692,5.625,5,5.243,5.518,6.26,6.315
206,Filosofía,5,5,5,5,5,5,5,6.411,6.875,7.277,7.831,8.286
207,Historia,5,5,5,5,5,5,5,5,5,5,5,5
208,Historia del Arte,5,5,5,5,5,5,5,5,5,5,6.403,5.927
209,Historia y Ciencias de la Música y Tecnología Musical,6.06,5,5,5.279,5,5,5.62,6.44,7.485,8.622,10.084,9.561
210,"Lenguas Modernas, Cultura y Comunicación-Español",6.52,7.301,7.13,6.95,8.16,7.033,6.822,6.881,7.889,8.152,6.291,7.71
211,"Lenguas Modernas, Cultura y Comunicación-Francés",6.17,7.432,6.2,7.075,6.752,6.562,6.346,5.528,5,5,5,5
212,"Lenguas Modernas, Cultura y Comunicación-Inglés",8.254,9.443,9.778,10.699,9.848,10.414,10.053,10.515,10.692,9.753,10.725,10.534
213,Traducción e Interpretación (Francés),5,5,5,6.39,6.374,5,5,5,5,7.3,9.09,9.543
214,Traducción e Interpretación (Inglés),9.249,10.415,10.566,10.721,10.544,10.532,9.707,9.016,9.94,11.575,11.559,12.026
220,Biología,7.732,8.443,8.561,9.378,10.074,10.092,10.167,10.261,10.231,10.422,10.883,11.161
221,Bioquímica,11.219,11.722,11.906,12.234,12.443,12.481,12.555,12.666,12.546,12.679,13.076,13.114
222,Ciencias Ambientales,7.079,7.15,6.45,7.133,7.451,7.576,7.95,7.436,6.776,8.222,8.736,9.521
223,Ciencia y Tecnología de los Alimentos,7.124,7.444,6.864,7.147,7.772,7.825,7.553,7.815,7.338,8.385,9.796,10.027
224,Física,5,6.247,8.721,10.001,10.976,11.667,12.286,12.628,12.783,12.794,13.075,13.157
