"","código","grado","X10.11","X11.12","X12.13","X13.14","X14.15","X15.16","X16.17","X17.18","X18.19","X19.20","X20.21","X21.22"
"1",1,"Arqueología",7.66,7.868,7.679,8.058,8.225,8.418,7.025,6.661,6.828,7.481,7.956,8.21
"2",2,"Bellas Artes",8.6,8.73,8.494,8.518,8.456,8.781,8.835,9.056,9.157,9.823,10.311,10.478
"3",3,"Bellas Artes (CES Felipe II)",7.45,7.5,5,5.5,NA,NA,NA,NA,NA,NA,NA,NA
"4",6,"Español: Lengua y Literatura",5,5,5,5,5,5,5,5,5,5,5,5
"5",7,"Estudios Ingleses",5.8,6.9,6,6.096,6.596,6.2,5.8,5.95,5.632,6.548,9.986,5
"6",8,"Estudios Semíticos e Islámicos",5,5,5,5,5,5,5,5,5,5,5,5
"7",9,"Filología Clásica",5,5,5,5,5,5,5,7.328,5,5,5.4,7.048
"8",10,"Filosofía",5,5,5,5,5,5,5,5.534,6.4,7.598,8.079,8.8
"9",11,"Historia",5,5.378,5,5,5,5,5,5,5,5,5,6.311
"10",12,"Historia del Arte",5,5.51,5,5,5,5,5,5,5,5,5.228,5.7
"11",13,"Lenguas Modernas y sus Literaturas",5,5.21,5,5,5,5,5,5,5,5,5,5
"12",14,"Traducción e Interpretación (CES Felipe II)",5,6.549,5.55,5,6.567,9.924,10.1,10.382,9.281,10.076,11.697,5
"13",30,"Biología",7.962,8.374,8.508,9.068,9.292,9.632,9.471,9.608,9.629,10.274,10.87,11.394
"14",31,"Bioquímica",11.324,11.633,11.692,11.892,11.983,12.157,12.236,12.264,12.325,12.546,12.984,13.131
"15",32,"Física",5,5.054,7.003,7.804,8.922,9.772,10.044,11.528,11.896,12.122,12.586,12.754
"16",33,"Geología",5,5.3,5,5,5,5,5,5,5,5,5,5.749
"17",34,"Matemáticas",5.49,5.392,5,5.26,6.447,8.121,9.85,11.178,11.707,12.174,12.829,12.928
"18",35,"Matemáticas y Estadística",5,5,5,5,5.546,7.233,8.928,10.655,11.219,11.886,12.561,12.593
"19",36,"Química",5.904,5.811,6.083,6.351,6.67,7.308,7.711,7.34,8.542,9.571,10.264,10.968
"20",50,"Enfermería",10.301,10.192,10.206,10.076,10.28,10.35,10.493,10.79,10.7,11.108,11.938,12.458
"21",51,"Farmacia",9.359,9.469,9.249,9.583,10.092,10.246,10.404,10.75,10.795,11.003,11.802,12.207
"22",52,"Fisioterapia",11.072,11.074,11.204,11.287,11.25,11.399,11.47,11.583,11.35,11.654,12.04,12.316
"23",53,"Logopedia",6.675,6.962,6.828,7.049,7.374,7.5,7.92,8.238,8.178,8.684,9.19,9.831
"24",54,"Medicina",12.189,12.469,12.499,12.571,12.617,12.697,12.742,12.871,12.966,13.044,13.408,13.5
"25",55,"Nutrición Humana y Dietética",8.9,8.394,8.358,8.621,9.045,9.394,9.15,9.9,10.025,10.1,10.919,11.384
"26",56,"Odontología",11.485,11.407,11.46,11.614,11.59,11.719,11.79,12.036,12.114,12.229,12.631,12.94
"27",57,"Óptica y Optometría",5,6.285,5,5.333,5.7,5,6.433,6.91,5,6.457,7.614,9.25
"28",58,"Podología",8.76,8,8.1,7.943,8.239,7.961,8.395,8.5,8.18,8.87,9.343,10.313
"29",59,"Psicología",7.794,7.821,7.511,7.865,8.221,8.464,8.519,8.752,8.968,9.48,10.256,10.689
"30",60,"Terapia Ocupacional",8.129,7.725,7.514,7.9,8.42,8.796,8.42,8.952,8.552,9.154,9.504,10.14
"31",61,"Veterinaria",10.401,10.615,10.722,10.978,11.195,11.285,11.436,11.6,11.456,11.79,12.236,12.37
"32",80,"Ingeniería de Computadores",5,5,5,5.13,5.153,5.895,6.247,7.061,7.629,8.102,9.478,9.86
"33",81,"Ingeniería del Software",5,5.489,5.72,6.018,6.099,6.69,6.89,7.933,8.368,8.825,10.305,10.482
"34",82,"Ingeniería Informática",5.384,5.86,6.167,6.222,6.38,6.944,7.185,9.25,9.77,10.043,11.29,11.444
"35",84,"Ingeniería Matemática",6.023,7.231,7.694,7.154,8.056,8.924,10.085,11.267,11.707,11.949,12.581,12.817
"36",85,"Ingeniería Química",8.156,8.672,8.216,8.656,7.732,8.072,8.491,8.31,9.284,10.007,10.907,11.24
"37",100,"Administración y Dirección de Empresas",7.13,7.192,7.299,7.382,7.215,7.503,7.441,8.103,8.972,9.075,10.035,10.614
"38",101,"Antropología Social y Cultural",5,5,5,5,5,5,5,5,5,5,5,5
"39",102,"Ciencias Políticas",5,5.025,5,5,5,5,6.297,6.482,6.997,7.46,8.098,8.47
"40",103,"Comercio",5.004,6.14,5.917,6.36,6.575,6.345,6.966,6.761,6.802,7.226,7.895,8.732
"41",104,"Comunicación Audiovisual",8.108,8.633,8.416,8.524,8.406,8.197,8.402,8.927,9.636,10.188,10.706,11.114
"42",105,"Comunicación Audiovisual (CES Felipe II)",6.9,7.25,6.967,7.11,NA,NA,NA,5,5,5,NA,NA
"43",106,"Derecho",5,5.652,5.736,6.128,5.86,5.722,6.171,6.361,6.93,7.468,8.08,9.482
"44",107,"Derecho mención Derecho Francés",7.322,5.848,6.384,7.49,7.179,5,5,5,5,5,6.867,5
