codigo,grado,10-Nov,11-Dec,Dec-13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
600,Artes Visuales y Danza (Fuenlabrada),5,5.322,5,5,5,5.711,5,5,5,5,5,5
601,Diseño y Gestión de Moda (Aranjuez),5,5.7,5,5.558,5.525,5,6.472,9.106,10.221,10.186,11.394,11.7
602,Pedagogía de las Artes Visuales y Danza (Fuenlabrada),5,5,5,5,5,5,5,NA,NA,NA,NA,NA
603,Bellas Artes (Fuenlabrada),NA,NA,6.708,8.057,7.846,8.015,8.368,8.786,8.9,9.236,9.991,10.209
604,Diseño Integral y Gestión de la Imagen (Fuenlabrada),NA,NA,8.444,9.317,9.668,9.733,9.047,9.468,9.728,10.532,11.384,11.636
610,Biología (Móstoles),7.375,8.01,8.176,8.728,9.046,9.249,9.159,9.332,9.376,9.816,10.53,10.975
611,Ciencia y Tecnología de los Alimentos (Móstoles),6.859,5.865,5.729,6.9,7.03,7.195,7.362,5,5.914,7.539,8.72,9.432
612,Ciencias Ambientales (Móstoles),6.617,6.506,6.464,6.478,6.254,6.819,7.046,5,5,6.31,7.762,8.836
613,Ciencias Experimentales (Móstoles),NA,5,5,5.754,5.743,5.71,6.729,5,5,5,8.048,9.633
620,Enfermería (Alcorcón),9.85,10.08,10.039,10.139,10.201,10.339,10.73,11,10.62,10.948,11.818,12.37
621,Fisioterapia (Alcorcón),9.926,9.983,10.056,10.45,10.572,10.764,10.782,11.035,10.861,10.937,11.368,11.784
622,Medicina (Alcorcón),11.867,12.143,12.189,12.343,12.382,12.536,12.62,12.793,12.792,12.884,13.257,13.35
623,Odontología (Alcorcón),11.24,11.1,11.22,11.393,11.469,11.59,11.742,11.981,12.034,12.175,12.492,12.857
624,Psicología (Alcorcón),8.31,8.281,8,8.38,8.718,8.987,9.424,9.508,9.114,9.525,10.557,10.943
625,Terapia Ocupacional (Alcorcón),7.571,7.738,7.276,7.714,8.09,8.435,8.388,8.706,8.427,8.9,9.339,9.87
630,Ingeniería Ambiental (Móstoles),5.703,6.64,6.532,6.25,5,5.621,5,5,5,5,6.661,7.476
631,Ingeniería de Computadores (Móstoles),5,5.189,5.38,5,5.375,6.058,5.918,6.468,7.21,7.648,8.74,9.525
632,Ingeniería del Software (Móstoles),5,5.8,6.149,5.742,5.93,6.864,6.671,7.525,8.209,8.508,9.828,10.214
633,Ingeniería de la Energía (Móstoles),7.825,8.506,8.969,9.074,8.531,6.21,7.55,7.15,7.376,7.93,9.218,10.18
634,Ingeniería de Materiales (Móstoles),5,6.522,6.567,6.5,5.89,5.692,5,5,5,5,6.011,7.64
635,Ingeniería en Sistemas Audiovisuales y Multimedia (Fuenlabrada),5.715,6.136,6.1,6.256,5.396,6.169,5,6.452,6.62,6.846,7.402,8.475
